Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,"Michaelos: (D,)",2.89581589958159,0.7097629009762901,190.0,1.0,0.6539748953974895,0.05578800557880056,0.1589958158995816,0.1312412831241283,0.9081207277622229,0,0.45661863389136115,0
1,"First by Tideman and Chieruzzi: (D, D)",2.844769874476987,0.6514644351464435,198.0,1.0,0.5952580195258019,0.056206415620641555,0.1792189679218968,0.16931659693165968,0.8936187498225252,0,0.44866176441518907,0
2,"Alexei: (D,)",2.8393305439330545,0.7686192468619247,167.0,1.0,0.6864714086471408,0.08214783821478382,0.13807531380753138,0.09330543933054393,0.8959277706685734,0,0.933778552071235,0
3,"EugineNier: (D,)",2.8334728033472807,0.7620641562064157,168.0,1.0,0.6790794979079499,0.08298465829846582,0.1396094839609484,0.09832635983263599,0.8990585982621037,0,0.9184939091915836,0
4,"First by Stein and Rapoport: 0.05: (D, D)",2.801255230125523,0.7344490934449094,165.0,1.0,0.6435146443514644,0.0909344490934449,0.15132496513249652,0.11422594142259414,0.8823931005582174,0.6341102231102232,0.6262113617376774,0
5,EvolvedLookerUp1_1_1,2.800418410041841,0.7666666666666667,50.0,1.0,0.69442119944212,0.07224546722454672,0.1193863319386332,0.11394700139470014,0.9896241830065359,0,0.9201785714285716,0
6,Evolved FSM 16,2.799163179916318,0.8143654114365412,41.0,1.0,0.7284518828451882,0.08591352859135287,0.10753138075313808,0.07810320781032079,0.9290995850927358,0.4828306878306878,0.8335434173669468,0.4310197210197211
7,"Stalker: (D,)",2.7966527196652717,0.798186889818689,157.0,1.0,0.703486750348675,0.09470013947001395,0.1205020920502092,0.08131101813110181,0.8718775734519714,0.5128658161829325,0.881094527363184,0.2832819045621814
8,"Limited Retaliate 3: 0.05, 20",2.792887029288703,0.7181311018131101,60.0,1.0,0.6774058577405858,0.04072524407252441,0.11799163179916318,0.16387726638772662,1.0,0,0,0
9,MEM2,2.7882845188284517,0.7658298465829847,49.0,1.0,0.7132496513249651,0.052580195258019526,0.10599721059972106,0.12817294281729427,0.9978778927385372,0.39696969696969703,0.5697977236438775,0
10,Retaliate 3: 0.05,2.78326359832636,0.709483960948396,59.0,1.0,0.6682008368200837,0.041283124128312414,0.12245467224546722,0.16806136680613668,1.0,0,0,0
11,Second by RichardHufford,2.7820083682008367,0.8080892608089261,29.0,1.0,0.7415620641562064,0.06652719665271967,0.09051603905160391,0.10139470013947002,0.9883838383838385,0.27682539682539686,0.8996031746031747,0
12,Evolved FSM 6,2.77907949790795,0.8157601115760111,34.0,1.0,0.7422594142259414,0.07350069735006974,0.09288702928870293,0.0913528591352859,0.9668906836292009,0.43238095238095237,0.8359156162464986,0.1908836019947131
13,Tricky Level Punisher,2.776987447698745,0.7202231520223152,59.0,1.0,0.6782426778242677,0.04198047419804742,0.11534170153417016,0.16443514644351465,1.0,0,0,0
14,Forgiver,2.776150627615063,0.7121338912133891,60.0,1.0,0.6700139470013947,0.04211994421199442,0.1198047419804742,0.16806136680613668,1.0,0,0,0
15,"Limited Retaliate: 0.1, 20",2.7757322175732217,0.7220362622036263,59.0,1.0,0.6811715481171549,0.04086471408647141,0.11422594142259415,0.16373779637377964,1.0,0,0,0
16,Punisher,2.774058577405858,0.7239888423988843,57.0,1.0,0.6834030683403068,0.04058577405857741,0.11199442119944211,0.16401673640167366,1.0,0,0,0
17,Grudger,2.772803347280335,0.7163179916317992,59.0,1.0,0.6744769874476987,0.04184100418410042,0.11771269177126918,0.16596931659693165,1.0,0,0,0
18,Forgetful Grudger,2.7715481171548118,0.7235704323570432,59.0,1.0,0.6822873082287308,0.041283124128312414,0.11352859135285913,0.16290097629009762,1.0,0,0,0
19,Retaliate 2: 0.08,2.7682008368200837,0.7181311018131101,59.0,1.0,0.6771269177126918,0.041004184100418416,0.11422594142259415,0.1676429567642957,1.0,0,0,0
20,Spiteful Tit For Tat,2.7682008368200837,0.7868898186889819,32.0,1.0,0.7124128312412832,0.07447698744769875,0.10543933054393305,0.10767085076708507,1.0,0,0.8834940312213039,0
21,"Limited Retaliate 2: 0.08, 15",2.7669456066945606,0.7156206415620642,58.0,1.0,0.6747559274755928,0.04086471408647141,0.11562064156206414,0.16875871687587168,1.0,0,0,0
22,Adaptive Pavlov 2006,2.760251046025105,0.7825662482566248,50.0,1.0,0.7117154811715481,0.0708507670850767,0.10153417015341701,0.11589958158995815,0.9680984637644365,0.2646825396825397,0.5544750773917441,0.25925925925925924
23,Retaliate: 0.1,2.7573221757322175,0.703486750348675,59.0,1.0,0.6603905160390516,0.043096234309623435,0.11966527196652721,0.17684797768479776,1.0,0,0,0
24,Winner12,2.7573221757322175,0.8094839609483961,30.0,1.0,0.7370990237099023,0.07238493723849372,0.08828451882845188,0.10223152022315202,1.0,0.5606636271529888,0,0.582657059252804
25,Inverse Punisher,2.7527196652719663,0.7465829846582984,51.0,1.0,0.698884239888424,0.04769874476987448,0.10083682008368201,0.15258019525801952,1.0,0,0.48082264957264953,0
26,Adaptive Pavlov 2011,2.752301255230125,0.8018131101813111,40.0,1.0,0.7278940027894003,0.07391910739191074,0.09218967921896792,0.10599721059972106,0.9727163273602902,0.275968253968254,0.6574213457775102,0
27,"BackStabber: (D, D)",2.7506276150627613,0.7539748953974895,160.0,1.0,0.6421199442119945,0.11185495118549513,0.14504881450488147,0.10097629009762901,0.8950115094003745,0.8271364438031105,0,0
28,EvolvedLookerUp2_2_2,2.748117154811715,0.8338912133891213,32.0,1.0,0.7435146443514644,0.09037656903765691,0.08633193863319386,0.07977684797768479,0.9102427593138973,0.5562539682539683,0.7994155844155844,0.8450644841269841
29,PSO Gambler 1_1_1,2.747698744769875,0.797629009762901,38.0,1.0,0.7266387726638772,0.0709902370990237,0.09205020920502092,0.11032078103207811,1.0,0.4889645198855725,0,0.2480147496605049
30,SpitefulCC,2.747698744769875,0.7361227336122733,53.0,1.0,0.6882845188284519,0.04783821478382148,0.10474198047419805,0.15913528591352857,0.9878955968352253,0.7231060606060605,0,0
31,TF3,2.7472803347280337,0.793444909344491,45.0,1.0,0.7198047419804742,0.07364016736401674,0.09400278940027895,0.11255230125523012,0.9527340430641682,0.6745421245421246,0.696164021164021,0.3109848484848485
32,Evolved HMM 5,2.7435146443514644,0.8086471408647141,39.0,1.0,0.7331938633193863,0.07545327754532777,0.0894002789400279,0.10195258019525802,0.9977973568281938,0.523518891124525,0.2253968253968254,0.20197177744446654
33,NMWE Memory One: 37 players,2.7405857740585775,0.7686192468619247,46.0,1.0,0.701673640167364,0.06694560669456066,0.099860529986053,0.1315202231520223,0.9441843518006721,0.49622307256235826,0.40116012470501633,0.2796983398545898
34,CAPRI,2.739748953974895,0.7806136680613668,28.0,1.0,0.7174337517433752,0.06317991631799164,0.0913528591352859,0.1280334728033473,1.0,0,0.7519607843137255,0
35,Evolved FSM 16 Noise 05,2.7384937238493725,0.8039051603905161,28.0,1.0,0.7271966527196653,0.07670850767085076,0.09065550906555091,0.10543933054393305,0.9758091226778677,0.5584975369458127,0.6343061955965181,0.28085497835497836
36,"DoubleCrosser: (D, D)",2.73765690376569,0.7527196652719665,160.0,1.0,0.6396094839609484,0.11311018131101813,0.14449093444909344,0.10278940027894003,0.8963188760355669,0.8186368053714994,0,0
37,Fool Me Once,2.7372384937238494,0.8276150627615063,28.0,1.0,0.7560669456066945,0.07154811715481173,0.07350069735006974,0.09888423988842399,1.0,0.637953795379538,0,0
38,Evolved ANN 5,2.73347280334728,0.8383542538354254,26.0,1.0,0.7531380753138075,0.08521617852161785,0.07852161785216179,0.08312412831241284,1.0,0.7213684463684463,0,0.8149164054336469
39,Nice Meta Winner Ensemble: 217 players,2.7305439330543932,0.7732217573221757,44.0,1.0,0.703486750348675,0.0697350069735007,0.09567642956764295,0.1311018131101813,0.9293588349435601,0.39885791715060004,0.28666390679419573,0.24280704129381783
40,AON2,2.7297071129707113,0.7896792189679219,39.0,1.0,0.7100418410041841,0.07963737796373781,0.099302649930265,0.11101813110181312,0.9903528662927158,0.4670899470899471,0,0.449000444000444
41,Adaptive,2.727196652719665,0.6,176.0,1.0,0.48884239888423986,0.1111576011157601,0.21255230125523014,0.18744769874476985,0.8484769956422433,0.8586856537486791,0,0
42,NMWE Deterministic: 149 players,2.72510460251046,0.7792189679218968,44.0,1.0,0.7119944211994421,0.06722454672245468,0.09316596931659693,0.12761506276150628,0.9262075583096713,0.4523083623693379,0.2862511302072805,0.20480166862782406
43,NMWE Long Memory: 136 players,2.72092050209205,0.7707112970711297,45.0,1.0,0.6993026499302649,0.07140864714086471,0.099721059972106,0.1295676429567643,0.9380014394271216,0.4315287226001513,0.252478473606635,0.2589957848895635
44,Evolved ANN,2.7200836820083683,0.8520223152022315,20.0,1.0,0.7715481171548118,0.08047419804741981,0.06304044630404462,0.08493723849372385,0.9744115793722022,0.7438598438598437,0.8625781625781626,0.589021164021164
45,Evolved FSM 4,2.719246861924686,0.8299860529986053,32.0,1.0,0.7313807531380754,0.09860529986052999,0.09093444909344492,0.07907949790794978,0.94969493417466,0.4203733766233766,0,0.852209595959596
46,PSO Gambler 2_2_2 Noise 05,2.7138075313807533,0.8343096234309624,25.0,1.0,0.7362622036262204,0.09804741980474198,0.08479776847977684,0.0808926080892608,0.9028365388901065,0.5909461279461279,0.8343434343434343,0.5644354256854257
47,Second by Weiner,2.713389121338912,0.8730822873082287,1.0,1.0,0.792608089260809,0.08047419804741981,0.05160390516039052,0.07531380753138076,1.0,0.3743890518084067,0.9738955823293172,0
48,PSO Gambler Mem1,2.709205020920502,0.8200836820083682,35.0,1.0,0.7344490934449094,0.08563458856345885,0.07977684797768479,0.100139470013947,1.0,0.556929845516802,0,0.22847691062174968
49,Forgetful Fool Me Once: 0.05,2.707112970711297,0.8453277545327754,24.0,1.0,0.7609483960948397,0.08437935843793584,0.06750348675034867,0.08716875871687586,1.0,0.6650744616764035,0.20241656491656493,0.16563845511213934
50,Meta Majority: 217 players,2.704602510460251,0.8492329149232914,0.0,1.0,0.7584379358437936,0.0907949790794979,0.0694560669456067,0.08131101813110181,1.0,0.14285714285714285,0.9841269841269841,0
51,Hard Tit For Tat,2.7041841004184097,0.7436541143654114,58.0,1.0,0.696234309623431,0.04741980474198048,0.08898186889818689,0.16736401673640167,1.0,0,0.29168083900226754,0
52,"General Soft Grudger: n=1,d=4,c=2",2.702928870292887,0.8108786610878661,34.0,1.0,0.7298465829846583,0.08103207810320781,0.0803347280334728,0.1087866108786611,1.0,0.38748832866479926,0.34981523731523734,0.324059472273758
53,Soft Grudger,2.701673640167364,0.8124128312412832,33.0,1.0,0.7322175732217573,0.0801952580195258,0.07810320781032079,0.1094839609483961,1.0,0.36854761904761896,0.35213112271935804,0.3165070012292234
54,NMWE Finite Memory: 81 players,2.700418410041841,0.7711297071129707,42.0,1.0,0.700836820083682,0.07029288702928871,0.09302649930264993,0.13584379358437937,0.9170186310300689,0.42860372831303073,0.2872561529379711,0.2485322461532336
55,Forgiving Tit For Tat,2.6999999999999997,0.8475592747559275,0.0,1.0,0.7588563458856347,0.08870292887029288,0.06722454672245468,0.08521617852161785,1.0,0,1.0,0
56,"Omega TFT: 3, 8",2.697489539748954,0.8523012552301256,7.0,1.0,0.7666666666666666,0.08563458856345886,0.06234309623430963,0.08535564853556485,1.0,0.2608730158730158,0.9107593795093795,0.5799319727891156
57,Second by Grofman,2.697489539748954,0.8580195258019526,19.0,1.0,0.7767085076708508,0.08131101813110181,0.05634588563458856,0.08563458856345886,0.9908296943231442,0.5800870811287477,0.7174194677871147,0
58,Second by Tideman and Chieruzzi,2.697489539748954,0.8232914923291492,18.0,1.0,0.7525801952580196,0.07071129707112972,0.06666666666666667,0.1100418410041841,1.0,0,0.7530497592295347,0.125
59,PSO Gambler 2_2_2,2.6958158995815897,0.8344490934449094,25.0,1.0,0.7417015341701535,0.09274755927475593,0.07629009762900976,0.08926080892608089,0.9388028923309297,0.6686528885058296,0.622444831591173,0.488003762110905
60,Meta Majority Memory One: 37 players,2.694979079497908,0.8397489539748954,6.0,1.0,0.7527196652719665,0.08702928870292888,0.06903765690376569,0.09121338912133892,0.9976617882233447,0.1781057326511872,0.9153582372683495,0.17348534379426828
61,Once Bitten,2.694560669456067,0.8649930264993027,20.0,1.0,0.7765690376569038,0.08842398884239888,0.056624825662482565,0.07838214783821479,1.0,0.74484126984127,0,0
62,"First by Feld: 1.0, 0.5, 200",2.694142259414226,0.8309623430962343,15.0,1.0,0.7370990237099023,0.09386331938633194,0.07880055788005579,0.0902370990237099,0.9855340728337801,0,0.9909514269018401,0
63,Inverse,2.692887029288703,0.7888423988842399,35.0,1.0,0.7198047419804742,0.06903765690376569,0.08158995815899582,0.1295676429567643,0.9702906815406817,0,0.6170014055556224,0
64,Meta Majority Long Memory: 136 players,2.692468619246862,0.8419804741980474,1.0,1.0,0.7523012552301256,0.0896792189679219,0.06875871687587169,0.08926080892608089,1.0,0,0.9802287581699348,0
65,Meta Majority Finite Memory: 81 players,2.690794979079498,0.8386331938633194,9.0,1.0,0.7472803347280335,0.0913528591352859,0.07182705718270573,0.08953974895397489,1.0,0.34270833333333334,0.9169896640826873,0
66,Resurrection,2.689121338912134,0.8444909344490934,1.0,1.0,0.7543933054393306,0.09009762900976291,0.06792189679218968,0.08758716875871687,1.0,0,0.996638655462185,0
67,Tit For Tat,2.687866108786611,0.8433751743375174,0.0,1.0,0.7516039051603904,0.09177126917712691,0.06889818688981869,0.08772663877266387,1.0,0,1.0,0
68,NMWE Stochastic: 68 players,2.6874476987447697,0.7867503486750349,38.0,1.0,0.7083682008368202,0.07838214783821479,0.08870292887029288,0.12454672245467224,0.91466853176966,0.4090023994093761,0.3504298518383025,0.2657432309275822
69,Second by Borufsen,2.685774058577406,0.8747559274755927,0.0,1.0,0.7815899581589959,0.09316596931659693,0.05439330543933055,0.0708507670850767,1.0,0.2523391812865497,1.0,0.29023301801079576
70,Two Tits For Tat,2.685774058577406,0.7596931659693166,50.0,1.0,0.6998605299860531,0.059832635983263605,0.08591352859135287,0.15439330543933052,1.0,0,0.41424242424242425,0
71,Worse and Worse 2,2.684937238493724,0.8405857740585774,0.0,1.0,0.7475592747559274,0.09302649930264993,0.0695955369595537,0.08981868898186889,1.0,0,1.0,0
72,AdaptorBrief,2.684518828451883,0.8179916317991632,19.0,0.9790794979079498,0.7245467224546722,0.09344490934449093,0.08242677824267781,0.099581589958159,0.9850012132040894,0.4779212189926476,0.9318960129983752,0.44031279178338006
73,Calculator,2.683682008368201,0.7072524407252441,83.0,1.0,0.5870292887029289,0.1202231520223152,0.15425383542538354,0.1384937238493724,0.8839971769506377,0,0.9207036427624662,0
74,Second by GraaskampKatzen,2.683682008368201,0.8419804741980474,0.0,1.0,0.7506276150627615,0.0913528591352859,0.06806136680613668,0.0899581589958159,1.0,0,1.0,0
75,Soft Joss: 0.9,2.682426778242678,0.8658298465829847,0.0,1.0,0.7714086471408648,0.09442119944211995,0.05829846582984658,0.07587168758716875,1.0,0.24329420579420577,1.0,0.1989686404864976
76,Adaptive Tit For Tat: 0.5,2.680753138075314,0.8422594142259414,0.0,1.0,0.7483960948396096,0.09386331938633194,0.0707112970711297,0.08702928870292888,1.0,0,1.0,0
77,Contrite Tit For Tat,2.680334728033473,0.8437935843793585,0.0,1.0,0.7495118549511854,0.09428172942817295,0.07154811715481173,0.08465829846582985,1.0,0,1.0,0
78,"Memory Decay: 0.1, 0.03, -2, 1, Tit For Tat, 15",2.680334728033473,0.8435146443514644,0.0,1.0,0.7520223152022315,0.09149232914923291,0.06889818688981869,0.08758716875871687,1.0,0,1.0,0
79,First by Graaskamp: 0.05,2.6778242677824267,0.8397489539748954,0.0,1.0,0.7461645746164575,0.09358437935843794,0.07001394700139471,0.0902370990237099,1.0,0,1.0,0
80,Doubler,2.6769874476987447,0.8566248256624825,0.0,1.0,0.7598326359832636,0.09679218967921896,0.06178521617852162,0.08158995815899582,1.0,0.633891033891034,1.0,0
81,"ZD-GTFT-2: 0.25, 0.5",2.6711297071129705,0.8790794979079498,0.0,1.0,0.7785216178521618,0.10055788005578802,0.054811715481171544,0.06610878661087867,1.0,0.2143896741118963,1.0,0.3458868601602165
82,Second by Harrington,2.6686192468619243,0.8707112970711297,0.0,1.0,0.7746164574616458,0.09609483960948396,0.054811715481171544,0.07447698744769875,1.0,0.30919540229885056,1.0,0.25853324915824916
83,AdaptorLong,2.6665271966527193,0.7647140864714086,47.0,0.9874476987447699,0.6814504881450488,0.08326359832635984,0.09456066945606695,0.1407252440725244,0.9894685307425793,0.1841269841269841,0.2675925925925926,0.5114467988152198
84,Soft Go By Majority: 5,2.6648535564853555,0.8635983263598327,12.0,1.0,0.7591352859135286,0.10446304044630406,0.06471408647140865,0.07168758716875871,1.0,0.7147029299203211,0.7511398176291794,0
85,Revised Downing,2.6644351464435143,0.8828451882845189,14.0,1.0,0.7801952580195258,0.10264993026499303,0.05090655509065551,0.06624825662482567,0.9860075153543199,0.7920127711794379,0.7215686274509804,0.6063888888888889
86,GrudgerAlternator,2.6602510460251043,0.8464435146443514,21.0,1.0,0.7301255230125523,0.11631799163179916,0.0789400278940028,0.07461645746164575,0.9159968641558971,0,1.0,1.0
87,Second by Getzler,2.659414225941423,0.8595536959553696,9.0,1.0,0.7672245467224547,0.09232914923291492,0.054532775453277546,0.08591352859135287,0.9632280164968947,0.4247675781009114,0.7468578186932616,0.3633291772826656
88,Second by Kluepfel,2.6585774058577405,0.8546722454672245,9.0,1.0,0.7645746164574616,0.09009762900976291,0.05411436541143654,0.09121338912133892,0.9824573348325256,0.38516702935307584,0.77183029590437,0.2031570096570096
89,Gradual,2.6560669456066943,0.8895397489539749,6.0,1.0,0.7847977684797768,0.10474198047419805,0.04769874476987448,0.06276150627615062,1.0,0.38550903119868635,0.7909557109557109,0.6571311558811559
90,Thumper,2.6556485355648536,0.7824267782426778,28.0,1.0,0.7142259414225941,0.06820083682008368,0.07391910739191074,0.14365411436541145,1.0,0,0.6454873409418863,0
91,Worse and Worse 3,2.6548117154811717,0.8479776847977685,18.0,1.0,0.7476987447698744,0.10027894002789399,0.06555090655509065,0.08647140864714087,0.9351175151756187,0.5252021879928855,0.6403390313390313,0.4694226579520696
92,First by Joss: 0.9,2.6539748953974893,0.7160390516039051,75.0,1.0,0.599023709902371,0.11701534170153416,0.14295676429567641,0.14100418410041843,0.8989236019846295,0,0.9170939918667191,0
93,Original Gradual,2.6518828451882843,0.899302649930265,4.0,1.0,0.7914923291492328,0.10781032078103207,0.043933054393305436,0.056764295676429564,1.0,0.3795025376921929,0.8458503401360544,0.7494724025974026
94,Firm But Fair,2.6506276150627617,0.8796373779637378,0.0,1.0,0.7663877266387726,0.11324965132496513,0.056764295676429564,0.06359832635983263,1.0,0,1.0,0.6956592360280884
